file,size_bytes,sha256_1mb_prefix
14852709.zip,76134552,58a49c1790e1863f61617c3fc7f322e2203be738c5443ab0c37b0ce311a4a7f1
estat_avia_paoac.tsv.gz,56015575,078eeaeaffa750dab55c68321d86b116b6a29474f2d8d481c53fc158ff968c35
estat_earn_ses14_01.tsv.gz,154347,9204467389a5ac4fb89054626461a055e2a8e72737271237cb02ec4972c284e1
estat_earn_ses_agt01.tsv.gz,276676,4b73d032b9a5d09cbec2b0a3d6923f4b592a498104f46cff21dd979afbbb15f3
estat_earn_ses_monthly.tsv.gz,41721341,ba2ce8113076c9534ae58ab2ec37abb1aed4ba345d7b497f6ef4708961e61ef4
estat_earn_ses_pub1s.tsv.gz,2081,cf41965d7678c6df34ff179b661103691e0a4097b1bc8a9c71782f226a384b38
estat_env_ac_taxind2.tsv.gz,1008702,d0975d6fd1d69f180b84f6f31b2f1b21c7976834f3cc9ce377b69fb38d123390
estat_hsw_exp5a.tsv.gz,14565,e255d2eb24f7969a8610c9941f5c4b1a620834661665ed22fb2ab24d34b8de7a
estat_hsw_exp6a.tsv.gz,15199,763699ff9368962fc34f011939b6380add6eb8baba1b91923bf2bd3a1ff6e3b8
estat_hsw_n2_02.tsv.gz,116773,815be3048eccc8b367b0287113ca9f61fba8afdbe8f02750227ac80a35f0b7e2
estat_isoc_ske_itrcrn2.tsv.gz,482154,09f6e09b7f02887f2bb253b43c955ad3e5d8f157cb735f75b14678787155e3be
estat_isoc_ske_itspe.tsv.gz,9990,8ff1c59bb84b38326e7fcfb1d04b722cc2319520bc767bfe2d33cdbb10fecd3f
estat_lfsa_esgaed.tsv.gz,1853613,995e387ee496d7783a6c817310fc61bdb58936eed2cdb1fae8d12c7bfb710e70
estat_lfsa_etgar.tsv.gz,1486086,4611e6e7e0c05e2b09da895774ecedc1898cb6c8376eaae21d81d12714f60a42
estat_nrg_cb_rw.tsv.gz,675582,183726f40a97efa87cbd110ef332366ce0ddb4e30be7cfdab36051c4be2b3696
estat_nrg_ind_fecf.tsv.gz,88719,7ee1b4eae101417d2b7a3d34b268d0b0c883fc3e1bfb7f8112d17399c9669023
estat_nrg_inf_hptc.tsv.gz,36593,da1250ea9fa5dae1c718f9b9954e43d698e71f53c808d5a3017771044b64b83c
estat_nrg_inf_stcs.tsv.gz,3439,524ad3b7991cce38d8d14d0b4aa71473e7147cf7cb9d61ed739be5c9f7e5d0ac
estat_rd_e_berdfund.tsv.gz,1088978,7311489773ea354d39d9b04026658eceb929c43c36b98541586af18148ccf736
estat_rd_e_berdind.tsv.gz,389166,4dec53f5b84e60abf3ec46e5bfab7cb319774c25494b4c318eff8ad26d3262c6
estat_rd_e_gerdsobj92.tsv.gz,295621,417baf36abe032ac1567c0d1697fb12c53e0835d23f5550fc982620628d67f63
estat_rd_p_bempocc.tsv.gz,254082,5750305d85615dfafebee1b03ca1dec9f6d7ca3b60def46930ff9aff18d7b1ad
estat_sdg_07_10.tsv.gz,4766,daa04dbbd1ed732d054871f85b6780a2b4ceb2f269776e9fb049958962fe583f
estat_sdg_13_50.tsv.gz,1284,ce8dd0d41fa4a66ceec2639101b12df8e11e41d293debb51fb1ebd005b8a3613
estat_sts_inpr_a.tsv.gz,1513796,cec1876927b5d0b6ac4e0d8f9d4d57ebd7d49a07c9fd400ed824b797af32a058
estat_ten00127.tsv.gz,16961,17ba872eaf095cb5f9957f44a7a6e193692bf3c592d24dac749b16f29576c29e
estat_ten00129.tsv.gz,18472,f8b5f7f2c8b6aab67cd2e5c26ee94bc4ae6f23befb258c8f018e937b55061d7a
