geo,year,O,R,I,S,O_raw,R_raw,I_raw,S_raw
BE,1981,,,,0.1167604269403483,,,,1.0
BE,1982,,,,0.1677140600557797,,,,1.05
BE,1983,,,,0.2349876839459187,,,,1.1
BE,1984,,,,0.266640223005077,,,,1.12
BE,1985,,,,0.3374920150822581,,,,1.16
BE,1986,,,,0.37616264485904,,,,1.18
BE,1987,,,,0.3961442996688695,,,,1.19
BE,1988,,,,0.3565936893374916,,,,1.17
BE,1989,,,,0.2349876839459187,,,,1.1
BE,1990,,0.3312234260924083,,,,3.555348061489413,,
BE,1991,,0.3374920150822581,,0.2060369308686866,,3.610917912644224,,1.08
BE,1992,,0.3374920150822581,,0.3374920150822581,,3.610917912644224,,1.16
BE,1993,,0.3374920150822581,,0.4579439308353919,,3.610917912644224,,1.22
BE,1994,,0.3374920150822581,,0.4371014653862213,,3.610917912644224,,1.21
BE,1995,,0.3374920150822581,,0.3961442996688695,,3.610917912644224,,1.19
BE,1996,,0.3374920150822581,,0.5420560691646081,,3.610917912644224,,1.26
BE,1997,,0.3374920150822581,,0.6434063106625084,,3.610917912644224,,1.31
BE,1998,,0.3374920150822581,,0.6625079849177418,,3.610917912644224,,1.32
BE,1999,,0.3434837218729896,,0.7650123160540813,,3.6635616461296463,,1.38
BE,2000,0.13231998855006297,0.35200321741374513,,0.8201854172014746,71.6,3.737669618283368,,1.42
BE,2001,0.15693094841010455,0.360020377453564,,0.9069040786006132,74.6,3.80666248977032,,1.51
BE,2002,0.1613771606967768,0.37476333159107106,,0.7333597769949233,75.1,3.9318256327243257,,1.36
BE,2003,0.1715162355493896,0.3922223815768794,,0.6434063106625084,76.2,4.07753744390572,,1.31
BE,2004,0.22167215641286211,0.42156340903106165,,0.5835212379473903,81.0,4.31748811353631,,1.28
BE,2005,0.2592354307091118,0.42641836603092986,,0.5,84.1,4.356708826689592,,1.24
BE,2006,0.33231147866392124,0.47062178929672177,,0.6038557003311305,89.4,4.709530201312334,,1.29
BE,2007,0.44047654522612295,0.5,,0.6625079849177418,96.3,4.941642422609304,,1.32
BE,2008,0.5,0.5296806456650298,,0.6991205389592238,99.9,5.176149732573829,,1.34
BE,2009,0.32498076137722154,0.6032463599958837,,0.6991205389592238,88.9,5.768320995793772,,1.34
BE,2010,0.45197063866744286,0.6226040018788479,,0.6625079849177418,97.0,5.9293231505701325,,1.32
BE,2011,0.529867928318527,0.6330892919614771,,,101.7,6.017863020962513,,
BE,2012,0.5,0.643392624545702,0.4404765452261225,,99.9,6.105908681498851,27.88,
BE,2013,0.5,0.6709569835996857,,,99.9,6.34738920965601,,
BE,2014,0.5215835734573548,0.6791198734316345,0.1995909489498586,,101.2,6.420808929006089,26.15,
BE,2015,0.5016613011758959,0.6870404744104411,0.5016613011758957,,100.0,6.49299712396238,28.25,
BE,2016,0.5758305816240403,0.6870404744104411,0.1560537635079897,,104.5,6.49299712396238,25.7,
BE,2017,0.6236424103350483,0.6913744392141205,0.6837039980205936,,107.5,6.532916364415733,29.4,
BE,2018,0.6421665791411466,0.6943762941106341,0.4983386988241037,,108.7,6.5607477404455405,28.23,
BE,2019,0.718488684198861,0.6971336581993549,0.4536171360594523,,114.0,6.586447478880696,27.96,
BE,2020,0.6572881403695295,0.6994783722524403,0.7928738809062479,,109.7,6.608405401662674,30.26,
BE,2021,0.8669151974567596,0.7007484044095585,,,128.1,6.620339837647787,,
BE,2022,0.859862397661074,0.9933982060816996,0.950910379575136,,127.2,14.8335103024662,32.7,
BE,2023,0.7982773622817414,0.9938821563671904,,,120.6,14.984673955259224,,
BE,2024,,0.9943517557714878,0.6406381424779103,,,15.143174046178842,29.11,
