seed,C_end_control,C_end_injection,diff_injection_minus_control
28,-12.178608947893842,-1.4434205171833443,10.735188430710497
29,-12.178608947893842,-1.4434205171833443,10.735188430710497
30,-12.178608947893842,-1.4434205171833443,10.735188430710497
31,-12.178608947893842,-1.4434205171833443,10.735188430710497
32,-12.178608947893842,-1.4434205171833443,10.735188430710497
33,-12.178608947893842,-1.4434205171833443,10.735188430710497
34,-12.178608947893842,-1.4434205171833443,10.735188430710497
35,-12.178608947893842,-1.4434205171833443,10.735188430710497
36,-12.178608947893842,-1.4434205171833443,10.735188430710497
37,-12.178608947893842,-1.4434205171833443,10.735188430710497
38,-12.178608947893842,-1.4434205171833443,10.735188430710497
39,-12.178608947893842,-1.4434205171833443,10.735188430710497
40,-12.178608947893842,-1.4434205171833443,10.735188430710497
41,-12.178608947893842,-1.4434205171833443,10.735188430710497
42,-12.178608947893842,-1.4434205171833443,10.735188430710497
43,-12.178608947893842,-1.4434205171833443,10.735188430710497
44,-12.178608947893842,-1.4434205171833443,10.735188430710497
45,-12.178608947893842,-1.4434205171833443,10.735188430710497
46,-12.178608947893842,-1.4434205171833443,10.735188430710497
47,-12.178608947893842,-1.4434205171833443,10.735188430710497
